Species,NewWorld,Detected,ZikaDetected,mean.score,median.score,sd.score,NA.nums
Allenopithecus_nigroviridis,FALSE,FALSE,FALSE,0.5,0.553,0.26,13
Allocebus_trichotis,FALSE,FALSE,FALSE,0.132,0.136,0.103,11
Alouatta_belzebul,TRUE,FALSE,FALSE,0.281,0.224,0.158,14
Alouatta_caraya,TRUE,TRUE,FALSE,0.258,0.226,0.144,5
Alouatta_coibensis,TRUE,FALSE,FALSE,0.131,0.088,0.123,21
Alouatta_guariba,TRUE,FALSE,FALSE,0.316,0.25,0.165,11
Alouatta_macconnelli,TRUE,FALSE,FALSE,0.349,0.209,0.308,21
Alouatta_nigerrima,TRUE,FALSE,FALSE,0.141,0.101,0.092,21
Alouatta_palliata,TRUE,FALSE,FALSE,0.399,0.334,0.234,1
Alouatta_pigra,TRUE,FALSE,FALSE,0.21,0.234,0.139,6
Alouatta_sara,TRUE,FALSE,FALSE,0.325,0.319,0.209,19
Alouatta_seniculus,TRUE,TRUE,FALSE,0.459,0.405,0.274,1
Aotus_azarae,TRUE,FALSE,FALSE,0.156,0.089,0.165,9
Aotus_hershkovitzi,TRUE,FALSE,FALSE,0.062,0.043,0.062,15
Aotus_lemurinus,TRUE,FALSE,FALSE,0.292,0.335,0.197,5
Aotus_miconax,TRUE,FALSE,FALSE,0.035,0.001,0.06,15
Aotus_nancymaae,TRUE,FALSE,FALSE,0.129,0.117,0.073,12
Aotus_nigriceps,TRUE,FALSE,FALSE,0.291,0.278,0.213,12
Aotus_trivirgatus,TRUE,FALSE,FALSE,0.222,0.07,0.313,1
Aotus_vociferans,TRUE,FALSE,FALSE,0.219,0.199,0.22,12
Arctocebus_aureus,FALSE,FALSE,FALSE,0.266,0.183,0.218,20
Arctocebus_calabarensis,FALSE,FALSE,FALSE,0.132,0.136,0.077,5
Ateles_belzebuth,TRUE,FALSE,FALSE,0.32,0.289,0.236,7
Ateles_chamek,TRUE,FALSE,FALSE,0.246,0.234,0.118,12
Ateles_fusciceps,TRUE,FALSE,FALSE,0.138,0.137,0.093,5
Ateles_geoffroyi,TRUE,FALSE,FALSE,0.21,0.186,0.087,1
Ateles_hybridus,TRUE,FALSE,FALSE,0.115,0.085,0.101,21
Ateles_marginatus,TRUE,FALSE,FALSE,0.184,0.115,0.158,14
Ateles_paniscus,TRUE,FALSE,FALSE,0.455,0.472,0.29,1
Avahi_laniger,FALSE,FALSE,FALSE,0.16,0.156,0.096,5
Avahi_occidentalis,FALSE,FALSE,FALSE,0.161,0.073,0.227,10
Avahi_unicolor,FALSE,FALSE,FALSE,0.09,0.074,0.077,21
Brachyteles_arachnoides,TRUE,FALSE,FALSE,0.075,0.105,0.059,3
Brachyteles_hypoxanthus,TRUE,FALSE,FALSE,0.169,0.135,0.194,20
Bunopithecus_hoolock,FALSE,FALSE,FALSE,0.167,0.126,0.155,6
Cacajao_calvus,TRUE,FALSE,FALSE,0.204,0.165,0.2,4
Cacajao_melanocephalus,TRUE,FALSE,FALSE,0.28,0.221,0.286,12
Callicebus_baptista,TRUE,FALSE,FALSE,0.131,0.12,0.106,21
Callicebus_barbarabrownae,TRUE,FALSE,FALSE,0.247,0.21,0.185,21
Callicebus_brunneus,TRUE,FALSE,FALSE,0.141,0.163,0.09,13
Callicebus_caligatus,TRUE,FALSE,FALSE,0.202,0.153,0.191,30
Callicebus_cinerascens,TRUE,FALSE,FALSE,0.058,0.032,0.093,15
Callicebus_coimbrai,TRUE,FALSE,FALSE,0.119,0.112,0.118,21
Callicebus_cupreus,TRUE,FALSE,FALSE,0.184,0.166,0.15,8
Callicebus_donacophilus,TRUE,FALSE,FALSE,0.124,0.111,0.082,15
Callicebus_dubius,TRUE,FALSE,FALSE,0.53,0.515,0.38,30
Callicebus_hoffmannsi,TRUE,FALSE,FALSE,0.194,0.13,0.148,15
Callicebus_medemi,TRUE,FALSE,FALSE,0.2,0.145,0.211,21
Callicebus_melanochir,TRUE,FALSE,FALSE,0.073,0.054,0.08,21
Callicebus_modestus,TRUE,FALSE,FALSE,0.073,0.055,0.098,15
Callicebus_moloch,TRUE,FALSE,FALSE,0.256,0.285,0.172,1
Callicebus_nigrifrons,TRUE,FALSE,FALSE,0.28,0.216,0.234,21
Callicebus_oenanthe,TRUE,FALSE,FALSE,0.148,0.107,0.141,15
Callicebus_olallae,TRUE,FALSE,FALSE,0.063,0.059,0.045,15
Callicebus_ornatus,TRUE,FALSE,FALSE,0.119,0.091,0.114,21
Callicebus_pallescens,TRUE,FALSE,FALSE,0.185,0.144,0.138,21
Callicebus_personatus,TRUE,FALSE,FALSE,0.161,0.163,0.137,9
Callicebus_torquatus,TRUE,FALSE,FALSE,0.463,0.381,0.385,22
Callimico_goeldii,TRUE,FALSE,FALSE,0.279,0.306,0.238,1
Callithrix_acariensis,TRUE,FALSE,FALSE,0.184,0.098,0.303,21
Callithrix_argentata,TRUE,FALSE,FALSE,0.175,0.186,0.124,6
Callithrix_aurita,TRUE,FALSE,FALSE,0.137,0.126,0.099,10
Callithrix_chrysoleuca,TRUE,FALSE,FALSE,0.153,0.162,0.143,20
Callithrix_emiliae,TRUE,FALSE,FALSE,0.107,0.105,0.1,20
Callithrix_flaviceps,TRUE,FALSE,FALSE,0.105,0.123,0.067,9
Callithrix_geoffroyi,TRUE,FALSE,FALSE,0.104,0.071,0.12,17
Callithrix_humeralifera,TRUE,FALSE,FALSE,0.161,0.145,0.124,8
Callithrix_humilis,TRUE,FALSE,FALSE,0.176,0.081,0.283,21
Callithrix_intermedia,TRUE,FALSE,FALSE,0.247,0.267,0.136,16
Callithrix_jacchus,TRUE,FALSE,FALSE,0.372,0.389,0.16,3
Callithrix_kuhlii,TRUE,FALSE,FALSE,0.158,0.099,0.169,13
Callithrix_leucippe,TRUE,FALSE,FALSE,0.191,0.182,0.133,20
Callithrix_manicorensis,TRUE,FALSE,FALSE,0.139,0.077,0.163,21
Callithrix_marcai,TRUE,FALSE,FALSE,0.171,0.1,0.16,21
Callithrix_mauesi,TRUE,FALSE,FALSE,0.08,0.064,0.069,16
Callithrix_melanura,TRUE,FALSE,FALSE,0.196,0.165,0.177,21
Callithrix_nigriceps,TRUE,FALSE,FALSE,0.067,0.048,0.074,14
Callithrix_penicillata,TRUE,FALSE,FALSE,0.37,0.344,0.216,14
Callithrix_pygmaea,TRUE,FALSE,FALSE,0.107,0.109,0.073,1
Callithrix_saterei,TRUE,FALSE,FALSE,0.32,0.19,0.325,20
Cebus_albifrons,TRUE,FALSE,FALSE,0.678,0.567,0.302,1
Cebus_apella,TRUE,TRUE,FALSE,0.923,0.986,0.108,1
Cebus_capucinus,TRUE,FALSE,FALSE,0.482,0.469,0.186,1
Cebus_kaapori,TRUE,FALSE,FALSE,0.219,0.206,0.18,19
Cebus_libidinosus,TRUE,FALSE,FALSE,0.231,0.134,0.258,21
Cebus_nigritus,TRUE,FALSE,FALSE,0.349,0.263,0.248,11
Cebus_olivaceus,TRUE,FALSE,FALSE,0.45,0.392,0.251,3
Cebus_xanthosternos,TRUE,FALSE,FALSE,0.197,0.147,0.157,20
Cercocebus_agilis,FALSE,FALSE,FALSE,0.3,0.277,0.105,19
Cercocebus_atys,FALSE,TRUE,FALSE,0.339,0.388,0.166,10
Cercocebus_chrysogaster,FALSE,FALSE,FALSE,0.185,0.221,0.138,21
Cercocebus_galeritus,FALSE,FALSE,FALSE,0.2,0.189,0.068,5
Cercocebus_sanjei,FALSE,FALSE,FALSE,0.085,0.031,0.097,21
Cercocebus_torquatus,FALSE,FALSE,FALSE,0.324,0.269,0.236,6
Cercopithecus_albogularis,FALSE,FALSE,FALSE,0.654,0.829,0.413,15
Cercopithecus_ascanius,FALSE,FALSE,FALSE,0.411,0.345,0.278,2
Cercopithecus_campbelli,FALSE,FALSE,FALSE,0.129,0.11,0.091,9
Cercopithecus_cephus,FALSE,FALSE,FALSE,0.211,0.189,0.134,2
Cercopithecus_denti,FALSE,FALSE,FALSE,0.26,0.204,0.161,19
Cercopithecus_diana,FALSE,FALSE,FALSE,0.183,0.178,0.117,3
Cercopithecus_doggetti,FALSE,FALSE,FALSE,0.127,0.087,0.13,21
Cercopithecus_dryas,FALSE,FALSE,FALSE,0.099,0.081,0.106,18
Cercopithecus_erythrogaster,FALSE,FALSE,FALSE,0.101,0.106,0.051,13
Cercopithecus_erythrotis,FALSE,FALSE,FALSE,0.111,0.126,0.074,13
Cercopithecus_hamlyni,FALSE,FALSE,FALSE,0.19,0.139,0.178,21
Cercopithecus_kandti,FALSE,FALSE,FALSE,0.14,0.106,0.106,21
Cercopithecus_lhoesti,FALSE,FALSE,FALSE,0.269,0.205,0.157,10
Cercopithecus_lowei,FALSE,FALSE,FALSE,0.126,0.123,0.097,21
Cercopithecus_mitis,FALSE,FALSE,FALSE,0.736,0.741,0.255,3
Cercopithecus_mona,FALSE,FALSE,FALSE,0.332,0.334,0.16,15
Cercopithecus_neglectus,FALSE,FALSE,FALSE,0.413,0.448,0.212,1
Cercopithecus_nictitans,FALSE,FALSE,FALSE,0.658,0.677,0.27,4
Cercopithecus_petaurista,FALSE,FALSE,FALSE,0.256,0.21,0.233,14
Cercopithecus_pogonias,FALSE,FALSE,FALSE,0.319,0.284,0.149,3
Cercopithecus_preussi,FALSE,FALSE,FALSE,0.164,0.139,0.134,14
Cercopithecus_roloway,FALSE,FALSE,FALSE,0.09,0.05,0.109,21
Cercopithecus_sclateri,FALSE,FALSE,FALSE,0.192,0.167,0.189,18
Cercopithecus_solatus,FALSE,FALSE,FALSE,0.115,0.08,0.104,14
Cercopithecus_wolfi,FALSE,FALSE,FALSE,0.367,0.393,0.263,16
Cheirogaleus_adipicaudatus,FALSE,FALSE,FALSE,0.094,0.099,0.071,21
Cheirogaleus_crossleyi,FALSE,FALSE,FALSE,0.173,0.061,0.271,21
Cheirogaleus_major,FALSE,FALSE,FALSE,0.199,0.223,0.176,3
Cheirogaleus_medius,FALSE,FALSE,FALSE,0.148,0.147,0.111,0
Cheirogaleus_minusculus,FALSE,FALSE,FALSE,0.08,0.084,0.061,21
Cheirogaleus_ravus,FALSE,FALSE,FALSE,0.07,0.055,0.051,21
Cheirogaleus_sibreei,FALSE,FALSE,FALSE,0.096,0.095,0.05,21
Chiropotes_albinasus,TRUE,FALSE,FALSE,0.421,0.379,0.265,7
Chiropotes_satanas,TRUE,FALSE,FALSE,0.398,0.374,0.389,22
Chlorocebus_aethiops,FALSE,TRUE,TRUE,0.268,0.194,0.254,16
Chlorocebus_cynosuros,FALSE,FALSE,FALSE,0.18,0.143,0.185,21
Chlorocebus_djamdjamensis,FALSE,FALSE,FALSE,0.124,0.065,0.143,21
Chlorocebus_pygerythrus,FALSE,FALSE,FALSE,0.712,0.694,0.264,21
Chlorocebus_sabaeus,FALSE,FALSE,FALSE,0.244,0.157,0.214,21
Chlorocebus_tantalus,FALSE,FALSE,FALSE,0.355,0.323,0.235,21
Colobus_angolensis,FALSE,FALSE,FALSE,0.441,0.426,0.161,13
Colobus_guereza,FALSE,FALSE,FALSE,0.592,0.609,0.239,1
Colobus_polykomos,FALSE,FALSE,FALSE,0.255,0.248,0.135,3
Colobus_satanas,FALSE,FALSE,FALSE,0.273,0.263,0.191,8
Colobus_vellerosus,FALSE,FALSE,FALSE,0.343,0.452,0.19,15
Daubentonia_madagascariensis,FALSE,FALSE,FALSE,0.148,0.188,0.104,1
Erythrocebus_patas,FALSE,TRUE,TRUE,0.763,0.916,0.336,2
Eulemur_albifrons,FALSE,FALSE,FALSE,0.126,0.05,0.169,21
Eulemur_albocollaris,FALSE,FALSE,FALSE,0.114,0.098,0.08,20
Eulemur_cinereiceps,FALSE,FALSE,FALSE,0.068,0.069,0.053,21
Eulemur_collaris,FALSE,FALSE,FALSE,0.111,0.078,0.127,21
Eulemur_coronatus,FALSE,FALSE,FALSE,0.215,0.143,0.19,6
Eulemur_fulvus,FALSE,FALSE,FALSE,0.21,0.152,0.184,0
Eulemur_macaco,FALSE,FALSE,FALSE,0.345,0.386,0.199,2
Eulemur_mongoz,FALSE,FALSE,FALSE,0.202,0.149,0.3,2
Eulemur_rubriventer,FALSE,FALSE,FALSE,0.186,0.19,0.172,5
Eulemur_rufus,FALSE,FALSE,FALSE,0.23,0.174,0.251,17
Eulemur_sanfordi,FALSE,FALSE,FALSE,0.08,0.022,0.125,18
Euoticus_elegantulus,FALSE,FALSE,FALSE,0.189,0.187,0.156,11
Euoticus_pallidus,FALSE,FALSE,FALSE,0.054,0.023,0.068,20
Galago_alleni,FALSE,FALSE,FALSE,0.055,0.042,0.053,7
Galago_cameronensis,FALSE,FALSE,FALSE,0.098,0.062,0.1,21
Galago_demidoff,FALSE,FALSE,FALSE,0.165,0.141,0.113,4
Galago_gabonensis,FALSE,FALSE,FALSE,0.181,0.146,0.201,21
Galago_gallarum,FALSE,FALSE,FALSE,0.337,0.261,0.272,20
Galago_granti,FALSE,FALSE,FALSE,0.199,0.193,0.143,21
Galago_matschiei,FALSE,FALSE,FALSE,0.096,0.052,0.122,17
Galago_moholi,FALSE,FALSE,FALSE,0.269,0.306,0.222,6
Galago_nyasae,FALSE,FALSE,FALSE,0.095,0.085,0.084,21
Galago_orinus,FALSE,FALSE,FALSE,0.159,0.148,0.085,21
Galago_rondoensis,FALSE,FALSE,FALSE,0.141,0.081,0.123,21
Galago_senegalensis,FALSE,FALSE,FALSE,0.287,0.313,0.152,4
Galago_thomasi,FALSE,FALSE,FALSE,0.247,0.213,0.193,19
Galago_zanzibaricus,FALSE,FALSE,FALSE,0.388,0.426,0.264,7
Gorilla_beringei,FALSE,FALSE,FALSE,0.276,0.268,0.103,20
Gorilla_gorilla,FALSE,FALSE,FALSE,0.324,0.174,0.317,1
Hapalemur_alaotrensis,FALSE,FALSE,FALSE,0.053,0.037,0.058,20
Hapalemur_aureus,FALSE,FALSE,FALSE,0.128,0.097,0.116,6
Hapalemur_griseus,FALSE,FALSE,FALSE,0.095,0.075,0.112,0
Hapalemur_occidentalis,FALSE,FALSE,FALSE,0.076,0.016,0.093,21
Hylobates_agilis,FALSE,FALSE,FALSE,0.217,0.186,0.21,10
Hylobates_albibarbis,FALSE,FALSE,FALSE,0.335,0.155,0.366,21
Hylobates_klossii,FALSE,FALSE,FALSE,0.119,0.155,0.091,10
Hylobates_lar,FALSE,FALSE,FALSE,0.378,0.269,0.232,3
Hylobates_moloch,FALSE,FALSE,FALSE,0.19,0.164,0.156,9
Hylobates_muelleri,FALSE,FALSE,FALSE,0.332,0.224,0.249,8
Hylobates_pileatus,FALSE,FALSE,FALSE,0.251,0.2,0.231,4
